latest_year,id,indicator,year,xaxis_display,value
0,BZ,gov_debt_to_gdp_perc,2019,,0.78621
0,BZ,gov_debt_to_gdp_perc,2020,,1.03037
0,BZ,gov_debt_to_gdp_perc,2021,,0.82209
0,BZ,gov_debt_to_gdp_perc,2022,,0.66826
0,BZ,gov_debt_to_gdp_perc,2023,,0.67495
0,BZ,gov_debt_to_gdp_perc,2024,,0.65436
1,BZ,gov_debt_to_gdp_perc,2025,,0.67884
0,BO,gov_debt_to_gdp_perc,2010,,0.32809
0,BO,gov_debt_to_gdp_perc,2011,,0.30544
0,BO,gov_debt_to_gdp_perc,2012,,0.3071
0,BO,gov_debt_to_gdp_perc,2013,,0.30996
0,BO,gov_debt_to_gdp_perc,2014,,0.31796
0,BO,gov_debt_to_gdp_perc,2015,,0.33964
0,BO,gov_debt_to_gdp_perc,2016,,0.38202
0,BO,gov_debt_to_gdp_perc,2017,,0.41864
0,BO,gov_debt_to_gdp_perc,2018,,0.44167
0,BO,gov_debt_to_gdp_perc,2019,,0.48872
0,BO,gov_debt_to_gdp_perc,2020,,0.67497
0,BO,gov_debt_to_gdp_perc,2021,,0.6870499999999999
0,BO,gov_debt_to_gdp_perc,2022,,0.69174
0,BO,gov_debt_to_gdp_perc,2023,,0.78281
0,BO,gov_debt_to_gdp_perc,2024,,0.83219
1,BO,gov_debt_to_gdp_perc,2025,,0.84771
0,BR,gov_debt_to_gdp_perc,2010,,0.62433
0,BR,gov_debt_to_gdp_perc,2011,,0.60634
0,BR,gov_debt_to_gdp_perc,2012,,0.61614
0,BR,gov_debt_to_gdp_perc,2013,,0.59595
0,BR,gov_debt_to_gdp_perc,2014,,0.61617
0,BR,gov_debt_to_gdp_perc,2015,,0.7173
0,BR,gov_debt_to_gdp_perc,2016,,0.77422
0,BR,gov_debt_to_gdp_perc,2017,,0.82745
0,BR,gov_debt_to_gdp_perc,2018,,0.84777
0,BR,gov_debt_to_gdp_perc,2019,,0.87118
0,BR,gov_debt_to_gdp_perc,2020,,0.96007
0,BR,gov_debt_to_gdp_perc,2021,,0.88934
0,BR,gov_debt_to_gdp_perc,2022,,0.83939
0,BR,gov_debt_to_gdp_perc,2023,,0.84001
0,BR,gov_debt_to_gdp_perc,2024,,0.87028
1,BR,gov_debt_to_gdp_perc,2025,,0.93329
0,BB,gov_debt_to_gdp_perc,2010,,0.90329
0,BB,gov_debt_to_gdp_perc,2011,,0.94389
0,BB,gov_debt_to_gdp_perc,2012,,1.03477
0,BB,gov_debt_to_gdp_perc,2013,,1.11683
0,BB,gov_debt_to_gdp_perc,2014,,1.15077
0,BB,gov_debt_to_gdp_perc,2015,,1.22476
0,BB,gov_debt_to_gdp_perc,2016,,1.27143
0,BB,gov_debt_to_gdp_perc,2017,,1.34587
0,BB,gov_debt_to_gdp_perc,2018,,1.07162
0,BB,gov_debt_to_gdp_perc,2019,,1.0155500000000002
0,BB,gov_debt_to_gdp_perc,2020,,1.2956
0,BB,gov_debt_to_gdp_perc,2021,,1.08564
0,BB,gov_debt_to_gdp_perc,2022,,1.03968
0,BB,gov_debt_to_gdp_perc,2023,,1.04122
0,BB,gov_debt_to_gdp_perc,2024,,0.98903
1,BB,gov_debt_to_gdp_perc,2025,,0.94239
0,BN,gov_debt_to_gdp_perc,2010,,0.01113
0,BN,gov_debt_to_gdp_perc,2011,,0.02129
0,BN,gov_debt_to_gdp_perc,2012,,0.02101
0,BN,gov_debt_to_gdp_perc,2013,,0.02209
0,BN,gov_debt_to_gdp_perc,2014,,0.03231
0,BN,gov_debt_to_gdp_perc,2015,,0.02952999999999999
0,BN,gov_debt_to_gdp_perc,2016,,0.03005
0,BN,gov_debt_to_gdp_perc,2017,,0.02582
0,BN,gov_debt_to_gdp_perc,2018,,0.01899
0,BN,gov_debt_to_gdp_perc,2019,,0.01821
0,BN,gov_debt_to_gdp_perc,2020,,0.02158
0,BN,gov_debt_to_gdp_perc,2021,,0.01433999999999999
0,BN,gov_debt_to_gdp_perc,2022,,0.01326
0,BN,gov_debt_to_gdp_perc,2023,,0.01672
0,BN,gov_debt_to_gdp_perc,2024,,0.01568
1,BN,gov_debt_to_gdp_perc,2025,,0.01544999999999999
0,BT,gov_debt_to_gdp_perc,2010,,0.55813
0,BT,gov_debt_to_gdp_perc,2011,,0.62331
0,BT,gov_debt_to_gdp_perc,2012,,0.7147100000000001
0,BT,gov_debt_to_gdp_perc,2013,,0.87441
0,BT,gov_debt_to_gdp_perc,2014,,0.89788
0,BT,gov_debt_to_gdp_perc,2015,,0.90157
0,BT,gov_debt_to_gdp_perc,2016,,1.0298699999999998
0,BT,gov_debt_to_gdp_perc,2017,,1.04079
0,BT,gov_debt_to_gdp_perc,2018,,1.03394
0,BT,gov_debt_to_gdp_perc,2019,,1.00775
0,BT,gov_debt_to_gdp_perc,2020,,1.1601
0,BT,gov_debt_to_gdp_perc,2021,,1.2447
0,BT,gov_debt_to_gdp_perc,2022,,1.19859
0,BT,gov_debt_to_gdp_perc,2023,,1.1718000000000002
0,BT,gov_debt_to_gdp_perc,2024,,1.08717
1,BT,gov_debt_to_gdp_perc,2025,,1.03612
0,BW,gov_debt_to_gdp_perc,2010,,0.26547
0,BW,gov_debt_to_gdp_perc,2011,,0.27892
0,BW,gov_debt_to_gdp_perc,2012,,0.26448
0,BW,gov_debt_to_gdp_perc,2013,,0.23774
0,BW,gov_debt_to_gdp_perc,2014,,0.23936
0,BW,gov_debt_to_gdp_perc,2015,,0.24453
0,BW,gov_debt_to_gdp_perc,2016,,0.22341
0,BW,gov_debt_to_gdp_perc,2017,,0.19591
0,BW,gov_debt_to_gdp_perc,2018,,0.19642
0,BW,gov_debt_to_gdp_perc,2019,,0.21511
0,BW,gov_debt_to_gdp_perc,2020,,0.23508
0,BW,gov_debt_to_gdp_perc,2021,,0.22282
0,BW,gov_debt_to_gdp_perc,2022,,0.20989
0,BW,gov_debt_to_gdp_perc,2023,,0.22505
0,BW,gov_debt_to_gdp_perc,2024,,0.33182
